Gene	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	GC10	GC11	GC12
0610005C13Rik	0.003979398	0	0	0.000689348	0.001870417	0.001703111	0	0	0.000163412	0.000802911	0.000918309	0.002873404
0610007P14Rik	0.76566769	0.298440352	0.255387678	0.244976087	0.20088478	0.090840669	0.019833653	0.145997984	0.005731591	0.007446844	0.009368959	0.023142196
0610009B22Rik	0.348386252	0.318240642	0.682370035	0.712122005	0.848607417	0.900868688	0.784547924	0.584695525	0.676699245	0.506555541	0.325113495	0.261614175
0610009E02Rik	0.016241733	0.03824909	0	0.125116188	0.135680225	0.138571078	0.126647542	0.056314527	0.069269753	0.026124393	0.012423259	0.005245004
0610009L18Rik	0.112984485	0.566404445	1.429302925	2.077060386	1.894082318	1.733998107	1.522509681	1.533764686	1.364714996	1.155354073	0.999419858	1.116587048
0610009O20Rik	0.105251205	0.267073383	0.436934728	0.403569713	0.401058619	0.295964566	0.248758729	0.224741439	0.151433455	0.146411605	0.078896415	0.042475355
0610010F05Rik	0.461588636	0.299104714	0.673662484	0.881459239	0.886927594	0.836723184	0.821370679	0.721240183	0.735867271	0.650380894	0.269576867	0.145098846
0610010K14Rik	0.011300846	0	0.082718408	0.003180548	0.001127001	0.001064008	0.006560524	0	0	0	0.000410542	0.000254517
0610011F06Rik	0.354412058	0.10725731	0.094997573	0.018916031	0.013910175	0.011504528	0.006353144	0.177160057	0.014583892	0.058173532	0.3631315	0.466313409
0610025J13Rik	0.00237579	0	0	0.000559539	0	0	0.001156603	0	0.001979348	0.004257949	0.001817932	0
0610030E20Rik	0.23297418	0.502154409	1.26333012	0.651957315	0.543212883	0.28795892	0.158665309	0.303678084	0.074082416	0.049442899	0.067158004	0.025011133
0610037L13Rik	0.371026464	0.679650956	0.76200303	0.740714644	0.72243559	0.805049086	0.686490354	0.717969114	0.588057274	0.496235177	0.386888033	0.413486263
0610038B21Rik	0.054504649	0	0	0.000159603	0	0.000689339	0.000223695	0	0.001464218	0	0	0.000464733
0610039K10Rik	0.005677918	0.027371974	0	0.052603784	0.043668764	0.062640979	0.030567576	0.04544162	0.056205176	0.032162471	0.031143227	0.041149537
0610040B10Rik	0.127809044	0.399208953	0.359604546	0.483426305	0.447912092	0.397089254	0.360355415	0.278155399	0.266144418	0.165169404	0.130962809	0.141490196
0610040F04Rik	0	0	0	0.022054364	0.003422922	0.002286	0	0.020389291	0.002928615	0.001907448	0.003191588	0.002121527
0610043K17Rik	0.002504384	0	0	0	0	0	0	0	0.001339309	0.000997879	0.00020396	0.001809685
1010001B22Rik	0.013618484	0	0	0.022801164	0.019250505	0.005198687	0.002594435	0.035058883	0.000521008	0.000939243	0.001841966	0.002315308
1010001N08Rik	0.000930138	0	0	0.00105781	0.001481452	0.005292258	0.001690835	0	0.002834918	0.00106848	0.004220174	0.001444798
1110001J03Rik	0.621161453	0.246217547	0.061029887	0.626935415	0.540557016	0.438297447	0.427063419	0.465681584	0.34486703	0.301883017	0.265850382	0.041213597
1110002E22Rik	0.008277628	0	0	0.002556408	0.002893084	0.000917811	0	0	0.001376289	0.00097319	0.000491621	0.003211859
1110002J07Rik	0	0	0	0.006589046	0.013294133	0.012397767	0.089646186	0	0.01758415	0.002998864	0.000620016	0
1110002L01Rik	0.14686144	0.247388584	0.881514994	0.301800919	0.29510791	0.245064273	0.066692792	0.157330432	0.024121665	0.018445779	0.028967081	0.021003835
1110002O04Rik	0	0	0	0.000384535	0	0.000197073	0.055041464	0.029514008	0.077262226	0.059729535	0.017974084	0.003106918
1110004E09Rik	0.794868288	1.737613812	1.55487147	2.353392974	2.419775137	2.633254162	2.404817104	2.086547978	2.002809027	1.552319244	0.976800602	0.523250859
1110004F10Rik	1.065477165	1.87236358	0.549844528	0.88937378	0.843568282	0.686540323	0.715879872	0.65821276	0.880733794	0.755853734	0.351198759	0.118531173
1110007C09Rik	0.429548845	0.439194952	0.063760518	0.214247957	0.2081508	0.127964464	0.119781559	0.162832422	0.104124345	0.075366973	0.044996786	0.005930146
1110008F13Rik	0.862933329	0.473389757	0	0.233397595	0.207077788	0.12791218	0.275686582	0.400390662	0.390192323	0.72835063	0.692510568	0.517339016
1110008L16Rik	0.126626822	0.036023924	0.160714704	0.061233337	0.070748189	0.066176045	0.107589054	0.011039938	0.088841344	0.063800899	0.042841685	0.02702695
1110008P14Rik	0.914189476	0.164320505	0.063760518	0.062594552	0.048848981	0.044630628	0.036525307	0.092817989	0.042926398	0.031052035	0.068924738	0.235771927
1110012L19Rik	0.152877521	0	0	0.000267679	0.000884903	0.000207428	0	0	0.000465393	0	0.003206059	0.001211848
1110017D15Rik	0.08300762	0.379858994	0.57571275	0.408007784	0.428836506	0.43075401	0.693212197	1.274142326	1.111787937	1.406279104	2.083130968	2.553417051
1110018N20Rik	0.016378713	0	0.115285433	0.135032053	0.237341865	0.33564693	0.238190535	0.17862457	0.145387522	0.081042321	0.03476691	0.01013932
1110019D14Rik	0.065547463	0.071509147	0	0.224529604	0.193414612	0.03329724	0.020257905	0.1316806	0.021435423	0.020740552	0.008952541	0.011160228
