Type	detailedcategory	MRM3	RBM15B	HNRNPA2B1	TYW3	TRMT44	THUMPD1	ADAD2	TRMT112	TRMT2A	TRMT5	RPUSD3	TRMT61A	DKC1	VIRMA	TRMT6	NSUN2	NFS1	METTL27	ALKBH3	MRM2	METTL16	RPUSD2	METTL5	BUD23	METTL4	THUMPD3	BCDIN3D	HSD17B10	TRMT61B	CMTR2	NSUN7	YRDC	ADARB1	FBLL1	SPOUT1	PUS7	YTHDF3	PUS1	NSUN6	ADARB2	RPUSD1	NAT10	FTSJ1	ALKBH1	MRM1	OSGEP	APOBEC1	METTL15	TRMT10B	ADAD1	ADAT2	CIAO1	ADAT1	CBLL1	HNRNPC	GTPBP3	DIMT1	FTSJ3	QTRT1	TRMT13	SERGEF	DUS2	TRMT12	TRDMT1	TRMT1	RRP8	TRMT9B	MPST	ELP5	TP53RK	RBM15	ADAR	NSUN4	NSUN3	ALKBH8	TFB1M	CMTR1	MTO1	TRMT1L	ADAT3	EMG1	TPRKB	METTL14	ZCCHC4	HENMT1	PCIF1	WDR6	YTHDC2	METTL3	TFB2M	LCMT2	ZC3H13	MOCS3	WTAP	ELP4	NSUN5	TRMT11	NOP2	FBL	YTHDF1	YTHDC1	ELP3	PUS3	TRMT10C	APOBEC3A	TGS1	TRMO	METTL8	FTO	NUBP1	ELP1	TRUB1	PUS7L	TRMU	JMJD6	METTL6	APOBEC3G	TARBP1	YTHDF2	TRIT1	TRUB2	WDR4	CDK5RAP1	RPUSD4	PUSL1	CDKAL1	EIF3A	THG1L	METTL9	MEPCE	TRMT2B	METTL17	ALKBH2	OSGEPL1	METTL2B	CTU1	RNMT	THUMPD2	TRMT10A	LAGE3	ALKBH5	METTL2A	PUS10	ISCU	METTL1	CTU2
Normal	ACC	3.69724385886148	3.25261428674957	8.76661634056625	3.78986908747946	2.58277275424728	4.12938284747347	0.556797578005619	7.9621967782508	5.85022738190353	2.26636087416418	4.98005179501042	2.95438139090641	4.33995785947051	4.12353782731004	3.33784530624689	4.82019408276602	5.6763899706473	1.29334235275112	4.01529545045062	4.07137435381316	3.4634975592273	3.01457491526592	5.21614298353257	5.68344952550262	2.16700535149479	4.37096527586423	1.83630681565673	6.59787161940923	3.57787676857797	3.2691843362685	1.02216773511701	3.0497728074427	2.68730848976292	0.6699226786146	4.52927135535531	2.09454957468402	4.030405007343	4.05322962990247	3.47523287512091	0.401619482619825	3.44377824321775	4.17883948996337	4.63352573414843	2.7951385743851	2.56097926937869	4.85503152296632	0.00144195847435361	2.60429817508293	3.15393612772959	0.00144195847435361	2.99479078879293	5.61298333432795	4.09518177631986	2.83614881865199	8.07117424726367	4.47965806876144	3.75289114070937	4.75176790340769	5.84246469188596	3.01273494247959	4.62709626244169	2.96553635658393	2.55359133657536	1.55630670631335	4.61539197283641	3.63359037509574	0.444674827411663	5.55736656979986	5.20874796361138	2.70947193616477	1.67401582888152	5.58046939914552	3.89536263488338	2.12135341963986	1.56609142089395	4.37791332188547	4.60589719549924	3.64968821361216	3.14098381514183	2.20194933518503	4.08670991235585	4.51922766058477	3.38695548485497	2.38983848140114	1.71415892072695	4.69548218449111	7.1680666684315	3.64048753250331	5.09474851717231	4.29503024533097	2.41708759603405	3.19394983396376	1.50640555355909	5.63924069338247	2.95438139090641	3.65778901843914	3.41293652207224	4.4561697090008	6.63300954881212	4.18280791260124	4.76929645711184	3.76669117721559	2.89550976975682	3.72042426715511	0.334563781792921	2.44388442146921	3.40478389392477	2.37876255592152	5.26004797679607	5.19221029270389	6.22580607894503	4.10780116580954	1.45469203653797	4.71433066292819	4.7655396524577	2.97286369773901	3.41021844745376	3.86106528885323	4.95101198025717	3.3576843338529	4.58921589848422	2.57552860941937	4.33710614305072	3.88958012036798	3.72254990644056	2.03950572161596	5.4229268988811	3.15881925071677	6.39563803066783	5.00814181392982	2.77001140964379	6.72490369825624	3.70389006098189	3.36192651271954	3.08420692369783	1.71854171846239	3.10619314468535	2.84415010470133	2.09792055613607	4.96117371480217	5.42058288758832	3.06367394370246	2.19248783993774	8.32351052326004	4.65253327398121	3.28550720409177
Normal	BLCA	3.60157006564576	4.00807879557799	8.75539243232246	3.82162296154187	3.17010322415568	4.49135326325342	1.15650913966781	7.54101738578174	4.86483569603929	2.56094447710027	4.81595656082586	3.65655074120755	4.66103510292479	4.75359858942193	3.41157768394603	5.16372627286544	4.42855705000162	1.38835314564394	4.57779217246758	4.19879113987779	3.94996520711349	2.94315384499755	5.46552553117484	5.9668077872885	2.75296196922031	4.5116731004813	1.89091181123215	6.13537056208848	3.3106618855006	2.86807286126657	1.34131782298205	3.57647333732192	4.17114180462659	0.209124301215686	4.91886758259661	2.39387127460897	4.34067084349853	3.94349612109748	3.03225402824507	0.305669754914416	3.79297857421919	4.21339712872028	4.54783969736409	2.96378266824982	2.42343867916378	4.78515298994701	0.00144195847435361	2.45939359333878	2.96545350647827	0.00144195847435361	1.76315258365219	4.91860902861922	3.99082144529243	3.35132674978843	8.37624850882433	3.26882454425562	4.09297467969804	4.71481182272867	5.0345527601677	2.74756306499847	5.16761795251439	3.36627434872714	2.98000664396629	1.46152272806866	4.32116819117765	4.09800273876148	0.705737065922687	5.73146333467197	5.09800877120552	3.36604049061615	1.84631799954479	5.55022356019646	3.51459641705617	2.29437025865279	2.15566217493592	3.33140641634848	4.31907456650405	3.64440948467652	3.19702997424243	1.54049493012807	4.26730093055123	5.0341167146524	3.93836442752175	2.43310630164699	2.56580180539553	4.97705143383345	6.80065043954955	3.01563615146252	4.41758738360931	3.25105257436635	2.44508459247596	4.07777096120241	1.61633150522794	5.93458355475252	3.32532125597985	4.18347554717744	3.33503459817648	4.43365726410003	7.6327393767975	4.42063779987078	5.42805692006504	4.17602697695088	3.10447291270169	4.04307176849936	1.24082917716079	3.2639012684847	3.14666326124572	3.08932437017019	4.83872775677233	4.88555262883999	3.7181624550075	2.77941505195957	1.46519413492305	3.70499928116958	5.06204604889786	2.95899909833626	4.03036020022996	3.51096331481867	5.06447477995784	3.90297757268566	4.03040544718156	2.78434128163962	4.450968508683	3.70883062923557	3.78691249398728	2.69284740861115	6.19995931069518	3.64913612089221	5.86929331362935	4.95788522557912	2.64753923006077	4.79202377264439	4.28625292602423	2.38829571309797	3.22652007265987	1.15445158195303	3.67048517171411	2.99379199182505	1.83631558076633	4.63762597736274	5.53970420270878	3.10103938321521	1.77439077896343	7.32080227194179	4.09344132310137	3.40953902844671
Normal	BRCA	3.49453934639384	3.86153367038888	8.72431513574106	3.82845490521032	3.50538854509828	4.52955848542183	0.678959457542864	7.4123937503928	5.62895212267036	2.63133677171068	4.59669270457097	3.21503426523538	4.86941926270256	4.91672227653701	3.08932437017019	5.1871042968397	4.54357717585292	1.79948632282638	4.7090887738051	3.9345781745509	3.96403898454551	2.81883804181197	5.59217070677516	5.85150485729953	2.82699498062892	4.42197245934869	1.86630558512285	6.03379009692063	3.48297265006983	3.35904169640849	1.82211544226671	3.36752463440555	3.56024873564367	0.556797578005619	4.75253821867951	3.02518310889351	4.20365289877929	3.79084331615906	3.1867823669242	0.45523098168662	3.49390142541719	4.44629302679706	4.7282328634581	3.21351743574802	2.19881965403319	4.94022386918012	0.00144195847435361	2.57552860941937	3.26694386730283	0.00144195847435361	2.78363571785891	5.28040643313421	4.35688404826554	3.65603989211923	8.27989917963522	3.91463434932205	4.40643696710372	4.72933949360882	5.3727948935373	3.40342618921877	4.92150820999333	3.0816933008918	2.89256720858589	2.03247344313197	4.78167747596621	4.06399249745261	2.47141176776675	5.22134953876028	4.78770053078268	2.9691993461675	2.03066359649312	5.98230274566764	3.60951906565517	2.44649683154418	2.23910093706096	3.17410356236686	4.60887002558928	4.03880889394941	2.8974143083461	1.64891849658191	4.38481546126475	5.06418030211363	3.81516615500025	2.73790063416994	2.71498014731463	5.06718759406677	6.47550441560842	3.71548126018448	5.34962273492196	3.25337515027709	2.36343671701013	3.98056450710793	1.43880571267194	6.21771610314237	3.1612172113987	4.12608307767839	3.70056664101757	4.51071694303138	7.84045829317531	4.46113330390305	5.82414181629162	4.05233702028767	3.00467838844988	3.69443074632516	0.683449577912566	3.12034418168682	3.67423354177689	2.86711826108426	5.33757688453589	4.60086327432819	4.1152913922831	2.85319250924173	1.65809314359158	4.58744280797877	4.68096789438918	3.23280472909212	3.10611297736616	4.57450687369635	5.21516992401787	3.91370050464473	4.01618673789829	2.75083201365153	4.76693637847096	4.23464410406822	3.25489715917164	2.91093114915263	5.81677452396567	2.93563001433229	5.89096895424063	4.84026303921435	3.00021444547628	5.81741330391766	4.42998177335151	2.79616581107632	3.33789105805435	1.40651168409153	3.75497464660489	3.65663813638765	2.07929580295089	4.10982655694591	5.46093199044127	3.10703314252561	2.26485620807305	7.22691296867311	4.30309854384797	3.46672939499268
Normal	CESC	3.28703294996214	4.04007679047495	9.22141888309793	4.03397274761057	3.80536814621484	4.62882346471867	0.576281927335309	8.10305656945717	5.86349444165331	2.04647324249977	4.87579394607829	3.94776024218303	4.8007139691476	5.03702501158691	3.2825459885833	5.39373095896421	4.46991679737758	3.65088467611696	4.7877005277594	3.9736811818617	4.55645296188311	2.90131116917613	5.33665035073154	6.11792384511408	3.07397957338511	4.25785308832014	1.94896010654323	6.21801191810761	3.37167958655771	2.97469638334807	1.40109968703189	3.03404625798517	3.80026224174561	0.288059892631429	4.80688483352257	2.93749900164541	4.34632774927906	3.75715043130309	3.22972171408984	1.05729435515509	3.72365903756888	4.43832692348183	4.92508623929317	3.32496594865949	2.34798640204051	5.53671786449616	0.00144195847435361	2.42790669854466	3.64398319068834	0.00144195847435361	2.88184321227572	5.13835423665192	4.11609222878465	3.41429575845239	8.5440702187604	4.36887167698015	4.50153939500972	5.07941334840829	5.95071609552698	3.78569490669277	5.23843166190843	3.11450466508501	2.79719304776754	1.90730743050151	5.20436982953592	4.36325778884362	1.49618670515736	5.29580203585034	4.86005215793435	2.90131116917613	1.53657746929815	6.13714493371389	3.41021844745376	2.43858124302499	2.03950572161596	3.22668453561427	4.98324734990676	4.38200679848936	2.95063687905999	2.07757822039685	4.36887167698015	5.21147232236685	3.61126348923999	2.71167473590324	1.98587629519508	5.52732534036642	7.4124931633199	3.8431017854015	5.88905180767377	2.72269781080285	2.37044869927365	3.90982621486017	1.31673683850666	6.2447512207939	3.15393612772959	4.49771621737318	3.95056601734283	4.51607172806704	8.02016802523466	4.55463375947816	6.09506055459323	4.0018838985776	2.9691993461675	3.43442789624511	0.45523098168662	3.0410719547816	2.96553635658393	2.89351907851447	5.17635858862759	4.73068673886233	4.77141584460414	2.78889257988408	1.68302333631389	5.16673328036472	4.82482444541012	3.41565512739711	3.48816173109899	4.09941886917377	5.02199958097438	4.24724067905647	3.98285938543624	2.80755849526168	4.99506322211529	4.34138382752656	4.10026638034176	2.87994187955897	5.783433829906	3.29879633385077	6.0779166113546	4.99419145204982	2.83004516791239	6.49538008521918	4.32988310908841	2.87596763884567	3.27519083290077	2.18936388353754	3.77197316103759	3.91654830476849	1.45469203653797	4.66396199732856	5.729549428028	2.91474612237265	2.00032813689653	7.60751651184076	4.00816660427293	3.72800380642682
Normal	COAD	3.39247348293255	3.75816910624321	8.64959689448031	3.57183063637742	2.90131116917613	4.17798919660995	0.379612773799794	7.18445258648923	5.5276188362792	2.12798140361961	4.78037637904918	4.01979907706487	4.37020394931504	4.4561697090008	2.77419409416097	5.17120541786379	4.58260321009085	1.54149660373924	4.28098785283786	3.80750375580283	3.60777481150905	2.94506632592305	5.41550450896291	5.58556091942705	2.51874961560534	4.17959533086539	1.65580461765362	5.93920601760371	3.1078726269439	2.98928264821511	1.74889191838596	3.09100112893181	4.25709491588797	0.576281927335309	4.62354617617388	2.26937185434014	4.03744715124743	3.86795724829664	2.72702636543709	1.28153595893221	3.79710656289784	4.0357568329676	4.26761651743303	2.96553635658393	2.508685888062	5.1843324498463	0.264241605957563	2.37319181332457	3.30023382875122	0.00144195847435361	2.79308459334215	4.95285059362911	3.72476823853174	3.17490385157721	7.84598410577374	3.95430763782182	3.71598897886953	4.70269345219395	5.96212928675656	3.24500847687726	4.90255919143521	3.00914357130495	2.54621116272684	1.41199842646127	4.8094884605129	4.43899464389199	1.35106369762101	6.00454800146941	4.95052814763976	2.68502800390941	1.70090705846983	5.63110769559608	3.12450445031415	2.28715414391988	1.807763448842	3.23124058958171	4.73126414524667	3.9736811818617	2.8581911788058	2.3135342173455	3.84505555544615	4.78924263204384	3.29735900094124	2.33370005304684	2.1046697224508	4.78664036697662	6.97422014326387	3.4075009044386	5.14894589331129	3.04282911956309	2.02537680013263	3.57668568024749	1.35672521132405	5.57293073735879	2.92620260999921	4.38829094697226	3.48688654951754	4.53051508111625	7.02511924912641	4.21656502505602	5.35225654556583	3.73558659758321	2.84415010470133	3.45958789685882	0.64248035723055	2.67827490786813	2.96361819230599	2.93376102701917	4.21268585365885	4.60704793544995	3.99466572497472	2.44919199302902	1.36233988760714	4.79917140634998	5.15506870618722	2.70726974327681	2.67608140967073	4.23805307841632	4.71817849398133	3.81976499034848	3.63588910726114	2.49337161285073	4.60589719549924	3.840031975783	3.33361083213992	2.40628715211268	5.58076313028849	3.25109274782099	5.25556820325863	4.55099566062663	2.83812696067704	6.30437096401262	3.79710656289784	2.42522052499374	3.1078726269439	1.81598800653376	3.41964337332365	3.24044725759425	1.76170082125522	4.11109839730388	5.65364721898946	3.02518310889351	1.75317967788829	7.30425696655118	3.60180908449646	3.5198943188336
Normal	ESCA	3.44836501423992	3.82283154316777	8.6169792473612	3.19314823714466	3.9370082844509	3.82794359310711	2.430553841829	7.2013364252808	5.38875255084491	2.21597796111897	4.97777631589511	3.04282926736896	5.07664772240596	4.19225909545119	3.13517859203065	5.34201450078471	4.42263981174882	1.15445158195303	4.22773279894423	3.91846266354723	3.19862716621538	2.69178692543664	4.94443253271004	5.35532952874593	2.54248268838418	4.22158046756086	1.81190915273224	6.43684975124667	2.99929575957201	3.71432604385033	1.69640953110525	3.62302034787212	2.5876062390327	0.119009664883812	4.93529021136563	2.98661713814201	3.79659614267818	4.22541367134754	2.58881521683628	0.50690888374194	3.89928077146954	4.35869139991732	4.61059648367764	2.61140417652364	2.325091789777	4.61299430139439	0.00144195847435361	2.08437466318853	2.80858721303564	0.00144195847435361	3.28407172407583	4.96514227613291	3.61952981742635	2.96361819230599	8.03286912776623	4.29028557530981	4.25178833613933	4.57809967167485	5.34591605554218	3.20571347926372	4.04669942734844	3.63818820314865	2.23142101498912	1.22094296829716	4.9052174910095	3.80128331102219	1.2785554654471	6.11437575233599	4.40638948246254	2.9664520187633	1.69865829478754	5.22811347086895	3.35696241454028	1.92259161685412	1.74460954956534	3.44178070526169	4.16353875920618	3.8620434550892	2.65325536917935	3.0960780316399	4.12113430245073	5.0226295846023	3.22668453561427	2.20351511902587	1.54149660373924	4.44801034537585	5.98013775650784	3.55654309232983	4.99709748963351	2.98478225311355	2.36206576402517	3.26918514174912	1.5439934498689	5.72057241701416	2.99295457394313	4.16637149540285	3.26165798468234	4.90618397365176	7.66761318831358	4.0858629589534	5.60837965565858	3.55411792444213	2.66697658405929	3.64858449871494	1.45469203653797	2.78786633992206	3.12282256778879	3.24196747472519	3.64913627342851	4.07476048112483	3.79242044637598	2.68502800390941	1.7701723831624	4.84827398325569	4.45259155543723	2.88672803542537	2.18936388353754	4.24079961420806	5.04900042293058	4.16717414277548	4.11863667839394	3.24957139719408	4.3064214819196	3.99738399518728	4.33026322430443	2.29893427249687	5.79821225999397	3.00739214271159	5.84993259429523	4.43632391927027	2.97286386761867	5.95356925469641	3.88566388522457	2.15411827883201	3.20491082984704	2.09960724808133	3.38831216317735	3.38071652222804	2.01111070606816	3.94448732098296	4.80842792312795	3.30391816802566	1.81190915273224	6.1855588921307	4.08713352899361	3.2736666160228
Normal	GBM	3.11450466508501	3.03053519133887	8.18715838657625	3.05153143247121	2.75296087457126	3.39654556202948	1.28748980708396	6.74105046188715	5.1010587190902	1.74026251143784	4.99864734477492	3.39935147399893	3.59823071021115	3.98192265296299	2.79308459334215	4.44433694433952	5.2176999635573	0.816408582690753	4.02064360998496	3.82385383764937	3.00380265832411	2.71828676863368	5.11562387932314	5.01754137454217	2.19248783993774	4.16278335974257	1.55136123663491	4.70211649770293	3.26165789113844	1.66038166952953	0.24001484961237	2.91665457478058	3.84505555544615	4.56813657696708	4.52171437463872	2.09454957468402	3.13929932980698	3.62191778162072	3.14745812235072	3.01992147653383	4.31183382054347	4.07993465948829	4.21183440775428	2.16700535149479	2.04996104168859	5.22499892518864	0.00144195847435361	2.0182915061938	2.77837885583375	0.00144195847435361	1.6280783476678	4.94772202545362	3.62770708425077	2.59477908002987	7.23947889050428	3.44241615956392	3.46613490496363	3.659999009321	6.08934556897965	2.01114240591966	6.58124606374233	2.79094555392262	2.22681853460227	1.12498491562881	4.83900830549557	3.2825459885833	2.53627270579699	3.8115899471086	4.84055243263056	1.94525678459597	1.03634662141947	5.50179629053908	2.67827490786813	1.66496545086994	1.56609142089395	2.81373226605352	4.54046662961173	3.48943702296204	2.51874961560534	1.1381394191249	3.07574221495095	4.14900240195866	2.33939436816787	1.64660268646468	3.33640362976821	4.30243392365161	5.94343604101414	2.98928264821511	4.53616029152055	2.13454120612354	1.70971252363866	3.5583726222963	1.29927067328998	4.85454880252096	2.80138912388345	3.80434685377662	3.33216962101582	4.03481782280589	5.62797233385667	4.12193541197147	4.6118431076709	4.10356254998866	2.09454957468402	3.40885960943967	0.288059892631429	1.94896010654323	2.65788248415339	1.64660268646468	5.16556670103449	3.21579272812478	4.49895869869971	2.86612588034555	1.50129118783706	4.75176790340769	3.63359037509574	3.21427580234597	1.03634662141947	5.62767840089878	4.06874105882072	3.30176134441684	4.48290584630389	2.10129394002658	4.57359674494643	3.42644413873824	3.27214239914484	1.5854292051238	4.35269909356632	1.438800019587	5.45321182972221	4.51989714131105	1.93018181273365	4.97230595748915	3.5970380961697	2.35361413998672	2.77632891742474	1.68750218398174	4.23426532912223	2.78889257988408	1.31673683850666	5.74367936117241	5.54102322189474	2.67608140967073	1.54649029599856	7.77719171353135	3.01098289592795	3.86898193575383
Normal	HNSC	3.52865994841582	3.93309195360517	8.36857161217569	3.01808612362763	3.07054380994431	3.51925537037426	1.23018913945184	7.34246693558561	4.18148942641987	2.56815211597983	4.57265164971482	2.64409355835977	4.90633457629278	4.13364101289165	3.28767263118235	4.66737315411368	3.89345108884313	1.08473970728875	4.28098888167074	3.96586451838459	3.11870704837586	2.85517487779646	4.93524189244249	5.76021672361195	2.05516810971435	4.31107924786286	1.63028788296475	6.73174246689621	2.98111349552988	3.19374782210681	1.25835087459874	3.68884746577527	1.88157212155702	0.177594444932951	4.80225660781806	2.75181962632919	3.98059423738748	3.59982500889171	2.03066359649312	0.470917293251973	3.72225363631077	4.00413425078754	4.79512686146926	2.46358534874943	1.88204977171594	3.76988810381138	0.00144195847435361	2.09274860124451	1.83832380499496	0.00144195847435361	1.40369407657268	4.73097561285903	3.35136916090721	3.11931006802958	8.14236506005727	2.89833195119838	3.87238689517797	4.15834617350314	4.39783396481715	2.15086295986148	4.06691595320241	3.41128678823266	2.41145983335951	1.24230174431315	3.7214873606948	3.44424909443013	1.05714743731557	5.52140922047612	4.57445906889633	3.08836820092131	1.88595030449196	5.0961573066249	3.437059895439	1.85037738187623	1.66493452772979	3.071386019678	3.44305304286967	3.36192651271954	2.8207860259472	1.74020157717947	4.21344368639376	4.68625445459869	3.33284565238255	1.86232865260564	1.61867102329035	4.31800809341765	4.77459576264595	2.78654150233178	3.54543569106231	3.33072864800635	2.54656049722696	3.28995341602015	1.75744024957176	5.61915515804406	3.05069695005204	3.82840950636239	2.473864064497	4.30490380200039	7.73225148593733	4.18356388634158	4.84100554323641	3.65024568439864	2.96641049077687	4.12151129555636	3.49936850981134	2.94411289646328	3.07138298794794	3.28031099457737	3.83321525507186	4.21997445443123	3.27134361784274	2.92047436618593	1.57558081447514	3.30099808201042	3.97414936686766	2.87696152248663	2.65770616952652	2.99837853219937	5.28357354107185	3.29147669786287	4.39438805378159	3.06943577299209	3.68880615857656	3.74854110007608	3.92416221472264	2.43185677435465	6.12196489374115	3.24957375315945	5.92518947628461	4.47483500658879	2.78922439279649	4.24104229604576	3.82027804105393	1.75532624835936	3.18282637502631	0.964200873645072	3.0118198444566	2.46748356824684	1.82809265911331	4.25970320733714	5.11844423032164	3.21503487135824	1.56119481174553	5.76316147975592	4.28602430842163	3.10115675523508
Normal	KICH	3.68893334425476	3.32064565694458	8.66710357722255	3.55143989157527	2.77813109799258	4.06343945964024	0.401590343177323	7.65373211335108	4.84463753411274	2.28715414391988	4.68260165881653	3.18994550789121	4.15145609641859	4.03571004269048	3.22668610996661	4.61554158052301	5.25079675639953	3.05442829818422	4.40977211424927	4.06343863872661	3.38829507629938	2.95076280732621	5.07446603117097	6.06831586998791	2.57673800067739	4.4005338052324	1.77438307890045	6.86012626740752	3.36120480774015	3.15466150607894	2.29589505095502	3.39418532572889	2.69508597642074	0.214880357415897	4.75518663391447	2.07586190660976	3.77619167859391	3.51615304829804	2.70816440825927	0.46572355431927	3.72744779066849	3.75335539673496	4.42259298503217	2.8974151238453	2.3801764055015	4.6588246136973	0.00144195847435361	2.42111910097073	2.72375917681272	0.00144195847435361	1.60656877148054	5.22018198516147	4.455550731607	2.86894993200005	8.26559560664715	3.3220434985222	3.48646624944144	4.53946360302327	5.27743544847634	2.63947623614059	5.16371967577721	2.93463802678917	2.83871312831582	1.76081083818545	3.99945851756241	3.83628380440746	2.42887723173718	5.52366470657132	5.04018695136193	2.61243481116454	1.53380018265231	5.53241433032092	3.72076345234191	2.13620212861085	1.65338275283499	3.38971482488769	4.20795693294759	4.05623711376649	2.96732477209763	2.28108569834073	3.99321886777598	4.78611172271713	3.4124561719473	2.23903514106189	1.70753298959839	4.88893654085535	6.34668667978325	2.9441092572842	4.55862298203321	3.47566006808162	2.61123257647706	3.28330920952205	1.35672521132405	5.65492239334511	3.25397432499731	4.15664985613568	3.37656020797859	3.62630269183546	6.7728053532343	4.23417616730814	5.08387750797879	4.09052190221283	2.59822306740858	3.64568969676744	0.687837426410313	2.90993573419885	3.59346083164385	2.2298549502533	4.3357870721711	4.86291176826745	3.80434825500322	3.16023447351566	1.38462930119694	4.26761719451662	4.50087041176826	2.9829073712207	2.63826197872167	3.35840633127324	4.82429516894083	3.62596215242653	4.53923493116172	2.57401169639287	4.30238661282047	3.55195050476122	3.26018038193648	2.59361181068565	5.08892587698992	2.46227753004696	6.62499760689211	4.98891286319463	3.16926062856255	5.30433019932298	3.78820254222139	2.61374598472769	3.19808666248179	1.37349504053215	3.21115422911871	2.80440150023697	1.98379668058086	4.39815059556559	5.37504077427756	3.13274413272799	2.01820167453725	7.89328171752972	4.42760021446142	3.27883096922012
Normal	KIRC	3.67704408749251	3.36192651271954	8.65528272900279	3.76242964115973	2.57794251193414	4.58145331188878	0.264241605957563	7.42472127089568	3.87391981511952	2.64636196880671	4.4409978947159	2.73144217382435	4.24875647267369	4.27652999101563	3.2914317180757	4.39714821249556	5.33957618741915	2.37601691087245	4.24799856480596	4.20871268479107	3.32784694038435	2.81167385460034	5.08708031517462	5.81073384673092	2.68055342513163	4.58806577116668	1.93394533632437	6.75412761935887	3.34496589922437	3.38831216317735	2.19881965403319	3.49453929147257	2.84819650099047	0.125650237911995	4.47450053922868	2.08437466318853	4.61002086203911	3.05504956445304	2.39534348772857	0.444674827411663	3.09779959120258	3.82998875920568	4.2134427185132	2.81579116458919	2.18936388353754	4.1260830625221	0.00144195847435361	2.76574551057699	2.47276114991763	0.00144195847435361	1.17057617735835	5.49377776504871	4.51167307593055	3.3576843338529	8.37983755285537	2.79094555392262	3.40342558863681	4.51674114195784	4.48682273914506	2.49337161285073	5.00726978910796	2.89940583367484	3.07741699291137	1.91112299567827	3.33361083213992	3.67815030663701	2.26636087416418	5.28878577162973	4.95749585966118	2.75083201365153	1.72293033552852	5.93123839251269	3.75502066027106	2.49592156772247	2.17346129877367	3.21115332646103	4.12353782731004	4.12693153490698	3.65088467611696	1.59504670741138	4.14739827935149	4.79811093006558	3.95150135962754	2.27825588456455	1.74460954956534	4.55645296188311	5.92936954941364	2.93567329722993	4.07814707855542	3.7645602842153	3.00380265832411	3.83500970895842	1.51146486108382	5.49544005936245	3.72144084519608	3.73133243717688	3.23284901843466	3.32640636489143	6.64548314515877	4.30167447848626	5.18666649899475	4.41896955867948	2.96178756706404	4.00094633730358	0.537047724983204	3.07230533264496	3.53368420341231	2.43320098511334	5.1457390061483	4.83601672949052	3.81465517323458	3.82487618717512	1.71854171846239	3.72144084519608	3.82998875920568	3.01992147653383	2.42522052499374	3.12778067157943	5.08028673777072	3.44504963872556	4.88758011138332	2.32224810375915	4.13428622951275	3.4529529896537	2.60429817508293	2.78684009996005	5.86270818589012	2.71608215289606	6.87881112517392	5.12436507513637	3.40070937856128	4.59343337178107	3.53240514498998	2.66242818995424	3.26013523708542	1.00070016982105	3.37728176424887	2.55848809000969	2.39809784211839	4.05407543336857	5.72170061197113	3.20018655193584	2.04996104168859	7.8094456534806	4.52295780485042	2.77632891742474
